node,entrez,gene_name,initial,ppion
324.0,3985,LIMK2,TRUE,TRUE
325.0,259266,ASPM,TRUE,TRUE
326.0,148741,ANKRD35,TRUE,TRUE
327.0,255520,ELMOD2,TRUE,TRUE
328.0,81567,TXNDC5,TRUE,TRUE
329.0,810,CALML3,TRUE,TRUE
330.0,6725,SRMS,TRUE,TRUE
331.0,7046,TGFBR1,TRUE,TRUE
332.0,23094,SIPA1L3,TRUE,TRUE
333.0,51619,UBE2D4,TRUE,TRUE
334.0,116985,ARAP1,TRUE,TRUE
335.0,26091,HERC4,TRUE,TRUE
336.0,4793,NFKBIB,TRUE,TRUE
337.0,5341,PLEK,TRUE,TRUE
338.0,25873,RPL36,TRUE,TRUE
339.0,23049,SMG1,TRUE,TRUE
340.0,391,RHOG,TRUE,TRUE
341.0,112714,TUBA3E,TRUE,TRUE
342.0,23550,PSD4,TRUE,TRUE
343.0,30811,HUNK,TRUE,TRUE
344.0,26262,TSPAN17,TRUE,TRUE
345.0,10652,YKT6,TRUE,TRUE
346.0,7319,UBE2A,TRUE,TRUE
347.0,2041,EPHA1,TRUE,TRUE
348.0,1850,DUSP8,TRUE,TRUE
349.0,138429,PIP5KL1,TRUE,TRUE
350.0,63893,UBE2O,TRUE,TRUE
351.0,1965,EIF2S1,TRUE,TRUE
352.0,8907,AP1M1,TRUE,TRUE
353.0,1315,COPB1,TRUE,TRUE
354.0,9404,LPXN,TRUE,TRUE
355.0,9922,IQSEC1,TRUE,TRUE
356.0,84033,OBSCN,TRUE,TRUE
357.0,9578,CDC42BPB,TRUE,TRUE
358.0,4882,NPR 2.00,TRUE,TRUE
359.0,51304,ZDHHC3,TRUE,TRUE
360.0,196403,DTX3,TRUE,TRUE
361.0,10112,KIF20A,TRUE,TRUE
362.0,130340,AP1S3,TRUE,TRUE
363.0,55745,AP5M1,TRUE,TRUE
364.0,55379,LRRC59,TRUE,TRUE
365.0,57037,ANKMY2,TRUE,TRUE
366.0,10093,ARPC4,TRUE,TRUE
367.0,80777,CYB5B,TRUE,TRUE
368.0,5875,RABGGTA,TRUE,TRUE
369.0,6836,SURF4,TRUE,TRUE
370.0,256949,KANK3,TRUE,TRUE
371.0,5298,PI4KB,TRUE,TRUE
372.0,6815,STYX,TRUE,TRUE
373.0,83696,TRAPPC9,TRUE,TRUE
374.0,26269,FBXO8,TRUE,TRUE
375.0,814,CAMK4,TRUE,TRUE
376.0,8517,IKBKG,TRUE,TRUE
377.0,55608,ANKRD10,TRUE,TRUE
378.0,23239,PHLPP1,TRUE,TRUE
379.0,91584,PLXNA4,TRUE,TRUE
380.0,5909,RAP1GAP,TRUE,TRUE
381.0,7125,TNNC2,TRUE,TRUE
382.0,5862,RAB2A,TRUE,TRUE
383.0,4624,MYH6,TRUE,TRUE
384.0,153478,PLEKHG4B,TRUE,TRUE
385.0,197259,MLKL,TRUE,TRUE
386.0,393,ARHGAP4,TRUE,TRUE
387.0,1258,CNGB1,TRUE,TRUE
388.0,56776,FMN2,TRUE,TRUE
389.0,253558,LCLAT1,TRUE,TRUE
390.0,26088,GGA1,TRUE,TRUE
391.0,55284,UBE2W,TRUE,TRUE
392.0,89846,FGD3,TRUE,TRUE
393.0,4634,MYL3,TRUE,TRUE
394.0,2773,GNAI3,TRUE,TRUE
395.0,2891,GRIA2,TRUE,TRUE
396.0,1432,MAPK14,TRUE,TRUE
397.0,11321,GPN1,TRUE,TRUE
398.0,23210,JMJD6,TRUE,TRUE
399.0,404734,ANKHD1-EIF4EBP3,TRUE,TRUE
400.0,2665,GDI2,TRUE,TRUE
401.0,56895,AGPAT4,TRUE,TRUE
402.0,3381,IBSP,TRUE,FALSE
403.0,257629,ANKS4B,TRUE,FALSE
404.0,1848,DUSP6,TRUE,FALSE
405.0,9515,STXBP5L,TRUE,FALSE
406.0,7336,UBE2V2,TRUE,FALSE
407.0,4905,NSF,TRUE,FALSE
408.0,6009,RHEB,TRUE,FALSE
409.0,988,CDC5L,TRUE,FALSE
410.0,5576,PRKAR2A,TRUE,FALSE
411.0,51807,TUBA8,TRUE,FALSE
412.0,1780,DYNC1I1,TRUE,FALSE
413.0,752,FMNL1,TRUE,FALSE
414.0,84617,TUBB6,TRUE,FALSE
415.0,51363,CHST15,TRUE,FALSE
416.0,94,ACVRL1,TRUE,FALSE
417.0,222553,SLC35F1,TRUE,FALSE
418.0,5577,PRKAR2B,TRUE,FALSE
419.0,84612,PARD6B,TRUE,FALSE
420.0,375189,PFN4,TRUE,FALSE
421.0,51441,YTHDF2,TRUE,FALSE
422.0,2931,GSK3A,TRUE,FALSE
423.0,23787,MTCH1,TRUE,FALSE
424.0,728780,ANKDD1B,TRUE,FALSE
425.0,5861,RAB1A,TRUE,FALSE
426.0,126626,GABPB2,TRUE,FALSE
427.0,54800,KLHL24,TRUE,FALSE
428.0,5662,PSD,TRUE,FALSE
429.0,51086,TNNI3K,TRUE,FALSE
430.0,50944,SHANK1,TRUE,FALSE
431.0,398,ARHGDIG,TRUE,FALSE
432.0,10952,SEC61B,TRUE,FALSE
433.0,23012,STK38L,TRUE,FALSE
434.0,151903,CCDC12,TRUE,FALSE
435.0,55611,OTUB1,TRUE,FALSE
436.0,23041,MON2,TRUE,FALSE
437.0,9149,DYRK1B,TRUE,FALSE
